tipo,genero,apellido1,apellido2,nombre_a,nombre_b,estrategia,forma_a,forma_b,ipa_a,ipa_b,ganador_humano,ganador_llm,acuerdo,fuente
T2,F,García,,Julia,Rocío,contraste,Julia García,Rocío García,xˈulja,ɾɾosˈio,A,A,si,humano
T2,F,García,,Alejandra,Emilia,aleatorio,Alejandra García,Emilia García,ˌalexˈandɾa,emˈilja,B,B,si,humano
T2,F,García,,Emma,Luna,aleatorio,Emma García,Luna García,ˈemma,lˈuna,A,B,no,humano
T2,F,García,,Manuela,Cecilia,dificil,Manuela García,Cecilia García,manwˈela,sesˈilja,B,B,si,humano
T2,F,García,,Rocío,Amelia,contraste,Rocío García,Amelia García,ɾɾosˈio,amˈelja,B,B,si,humano
T2,F,García,,Diana,Julia,dificil,Diana García,Julia García,djˈana,xˈulja,B,A,no,humano
T2,F,García,,Emilia,Amelia,dificil,Emilia García,Amelia García,emˈilja,amˈelja,B,B,si,humano
T2,F,García,,Victoria,Rocío,contraste,Victoria García,Rocío García,biktˈoɾja,ɾɾosˈio,A,B,no,humano
T2,F,García,,Catalina,María,dificil,Catalina García,María García,kˌatalˈina,maɾˈia,A,A,si,humano
T2,F,García,,Olivia,Rocío,contraste,Olivia García,Rocío García,olˈiβja,ɾɾosˈio,A,A,si,humano
T2,F,García,,Irene,Sara,aleatorio,Irene García,Sara García,iɾˈene,sˈaɾa,A,B,no,humano
T2,F,García,,Rocío,Valeria,contraste,Rocío García,Valeria García,ɾɾosˈio,balˈeɾja,B,B,si,humano
T2,F,García,,Ramona,Cecilia,dificil,Ramona García,Cecilia García,ɾɾamˈona,sesˈilja,B,B,si,humano
T2,F,García,,Martina,Cecilia,dificil,Martina García,Cecilia García,maɾtˈina,sesˈilja,B,B,si,humano
T2,F,García,,Regina,Irene,aleatorio,Regina García,Irene García,ɾɾexˈina,iɾˈene,B,B,si,humano
T2,F,García,,Valeria,Regina,aleatorio,Valeria García,Regina García,balˈeɾja,ɾɾexˈina,B,A,no,humano
T2,F,García,,Cecilia,Rocío,contraste,Cecilia García,Rocío García,sesˈilja,ɾɾosˈio,A,B,no,humano
T2,F,García,,Manuela,Ramona,dificil,Manuela García,Ramona García,manwˈela,ɾɾamˈona,A,A,si,humano
T2,F,García,,Isabel,Emma,aleatorio,Isabel García,Emma García,ˌisaβˈel,ˈemma,A,A,si,humano
T2,F,García,,Rocío,Ignacia,contraste,Rocío García,Ignacia García,ɾɾosˈio,iɡnˈasja,B,A,no,humano
T2,F,García,,Luna,Aitana,aleatorio,Luna García,Aitana García,lˈuna,aɪtˈana,A,A,si,humano
T2,F,García,,Emilia,Rocío,contraste,Emilia García,Rocío García,emˈilja,ɾɾosˈio,A,A,si,humano
T2,F,García,,Andrea,Lucía,aleatorio,Andrea García,Lucía García,andɾˈea,lusˈia,A,B,no,humano
T2,F,García,,Aitana,Sara,dificil,Aitana García,Sara García,aɪtˈana,sˈaɾa,B,B,si,humano
T2,F,García,,Renata,Valentina,dificil,Renata García,Valentina García,ɾɾenˈata,bˌalentˈina,A,B,no,humano
T3,F,García,Romero,Irene,Manuela,aleatorio,Irene García Romero,Manuela García Romero,iɾˈene,manwˈela,A,B,no,humano
T3,F,García,Romero,Martina,Ramona,dificil,Martina García Romero,Ramona García Romero,maɾtˈina,ɾɾamˈona,A,A,si,humano
T3,F,García,Romero,Rocío,Julia,contraste,Rocío García Romero,Julia García Romero,ɾɾosˈio,xˈulja,A,B,no,humano
T3,F,García,Romero,Rocío,Cecilia,contraste,Rocío García Romero,Cecilia García Romero,ɾɾosˈio,sesˈilja,A,B,no,humano
T3,F,García,Romero,Andrea,Daniela,aleatorio,Andrea García Romero,Daniela García Romero,andɾˈea,danjˈela,A,B,no,humano
T3,F,García,Romero,Miranda,Laura,aleatorio,Miranda García Romero,Laura García Romero,miɾˈanda,lˈaʊɾa,A,B,no,humano
T3,F,García,Romero,Rocío,Amelia,contraste,Rocío García Romero,Amelia García Romero,ɾɾosˈio,amˈelja,B,B,si,humano
T3,F,García,Romero,Amelia,Olivia,dificil,Amelia García Romero,Olivia García Romero,amˈelja,olˈiβja,B,B,si,humano
T3,F,García,Romero,Victoria,Rocío,contraste,Victoria García Romero,Rocío García Romero,biktˈoɾja,ɾɾosˈio,A,A,si,humano
T3,F,García,Romero,Cecilia,Ignacia,dificil,Cecilia García Romero,Ignacia García Romero,sesˈilja,iɡnˈasja,B,A,no,humano
T3,F,García,Romero,Daniela,Manuela,dificil,Daniela García Romero,Manuela García Romero,danjˈela,manwˈela,A,B,no,humano
T3,F,García,Romero,Mía,Valeria,dificil,Mía García Romero,Valeria García Romero,mˈia,balˈeɾja,B,B,si,humano
T3,F,García,Romero,Jimena,Ximena,dificil,Jimena García Romero,Ximena García Romero,ximˈena,simˈena,B,B,si,humano
T3,F,García,Romero,Julieta,Valentina,aleatorio,Julieta García Romero,Valentina García Romero,xuljˈeta,bˌalentˈina,B,B,si,humano
T3,F,García,Romero,Sara,Andrea,aleatorio,Sara García Romero,Andrea García Romero,sˈaɾa,andɾˈea,B,A,no,humano
T3,F,García,Romero,Valeria,Rocío,contraste,Valeria García Romero,Rocío García Romero,balˈeɾja,ɾɾosˈio,B,A,no,humano
T3,F,García,Romero,Emilia,Rocío,contraste,Emilia García Romero,Rocío García Romero,emˈilja,ɾɾosˈio,A,A,si,humano
T3,F,García,Romero,Renata,Victoria,aleatorio,Renata García Romero,Victoria García Romero,ɾɾenˈata,biktˈoɾja,B,A,no,humano
T3,F,García,Romero,Aitana,Clara,dificil,Aitana García Romero,Clara García Romero,aɪtˈana,klˈaɾa,A,B,no,humano
T3,F,García,Romero,Olivia,Rocío,contraste,Olivia García Romero,Rocío García Romero,olˈiβja,ɾɾosˈio,B,A,no,humano
T3,F,García,Romero,Valentina,Regina,aleatorio,Valentina García Romero,Regina García Romero,bˌalentˈina,ɾɾexˈina,B,A,no,humano
T3,F,García,Romero,Emilia,Olivia,dificil,Emilia García Romero,Olivia García Romero,emˈilja,olˈiβja,B,B,si,humano
T3,F,García,Romero,Rocío,Ignacia,contraste,Rocío García Romero,Ignacia García Romero,ɾɾosˈio,iɡnˈasja,B,A,no,humano
T3,F,García,Romero,Diana,Julia,dificil,Diana García Romero,Julia García Romero,djˈana,xˈulja,B,A,no,humano
T3,F,García,Romero,Josefina,Milagros,aleatorio,Josefina García Romero,Milagros García Romero,xˌosefˈina,milˈaɣɾos,A,A,si,humano
